iter	Logloss
0	0.6646555826
1	0.6388993726
2	0.6144038129
3	0.5917711806
4	0.5720982906
5	0.5538779428
6	0.5380241839
7	0.5234925267
8	0.5102938617
9	0.4973578992
10	0.4848561313
11	0.4734070324
12	0.464291483
13	0.4574744758
14	0.4486834909
15	0.4405784054
16	0.433807717
17	0.4278698678
18	0.4215861497
19	0.4156491878
20	0.4098643438
21	0.4052567424
22	0.3998185739
23	0.3952435495
24	0.3907024689
25	0.3868470911
26	0.3829595898
27	0.379540625
28	0.3761123008
29	0.3727709181
30	0.3694050905
31	0.3663080241
32	0.3639423239
33	0.3619964592
34	0.35975749
35	0.3580745491
36	0.3557021772
37	0.3538744794
38	0.3518488707
39	0.3496378421
40	0.3479649785
41	0.3468120601
42	0.3457261205
43	0.344096393
44	0.343029189
45	0.3416952844
46	0.3403461917
47	0.3393126625
48	0.3380665949
49	0.3367298328
50	0.335584745
51	0.3345634215
52	0.3332393363
53	0.3318539491
54	0.3308630888
55	0.3297454488
56	0.3285649076
57	0.3277547647
58	0.3272572593
59	0.3263578904
60	0.3258281072
61	0.3252886751
62	0.3244896866
63	0.3237602734
64	0.3229525929
65	0.3223063173
66	0.3213101208
67	0.3204162825
68	0.3199051473
69	0.3193379111
70	0.3189752748
71	0.3186858911
72	0.3180812287
73	0.3177796935
74	0.317318253
75	0.3168772251
76	0.3164632233
77	0.3159690065
78	0.3153970876
79	0.3151073016
80	0.3148675129
81	0.3144759039
82	0.3139546312
83	0.313414549
84	0.3127774741
85	0.3123475357
86	0.3116824833
87	0.3113378547
88	0.3108119886
89	0.3104596021
90	0.3099802222
91	0.3095835145
92	0.309366661
93	0.3091312294
94	0.3088997816
95	0.3086909336
96	0.3084542993
97	0.3081808877
98	0.3078110284
99	0.3075798152
