iter	Passed	Remaining
0	14	1392
1	26	1302
2	38	1255
3	50	1218
4	63	1205
5	77	1214
6	89	1186
7	101	1164
8	114	1158
9	133	1201
10	151	1223
11	172	1266
12	184	1237
13	196	1207
14	208	1179
15	231	1216
16	255	1247
17	278	1267
18	293	1250
19	305	1221
20	317	1195
21	330	1170
22	342	1146
23	355	1126
24	368	1105
25	381	1085
26	394	1067
27	408	1049
28	420	1029
29	435	1016
30	450	1002
31	465	989
32	479	974
33	508	986
34	521	968
35	534	949
36	547	931
37	559	912
38	571	893
39	583	874
40	595	857
41	609	841
42	621	823
43	636	809
44	652	797
45	668	784
46	699	788
47	714	774
48	726	756
49	739	739
50	751	722
51	764	705
52	777	689
53	789	672
54	803	657
55	816	641
56	829	625
57	845	612
58	868	603
59	897	598
60	910	581
61	922	565
62	935	549
63	948	533
64	960	516
65	971	500
66	983	484
67	999	470
68	1014	455
69	1030	441
70	1043	426
71	1058	411
72	1072	396
73	1093	384
74	1117	372
75	1129	356
76	1141	340
77	1155	325
78	1168	310
79	1183	295
80	1197	280
81	1212	266
82	1236	253
83	1254	238
84	1277	225
85	1301	211
86	1324	197
87	1338	182
88	1358	167
89	1373	152
90	1388	137
91	1403	122
92	1416	106
93	1433	91
94	1447	76
95	1459	60
96	1471	45
97	1494	30
98	1516	15
99	1539	0
